시장,회사코드,회사명,상장여부,업데이트일
코스닥,19594,HK이노엔,상장,20260206
코스닥,2830,HLB,상장,20260206
코스닥,9534,ISC,상장,20260206
코스닥,3560,KG이니시스,상장,20260206
코스닥,6025,NHN KCP,상장,20260206
코스닥,7994,가비아,상장,20260206
코스닥,3662,감성코퍼레이션,상장,20260206
코스닥,25359,네오셈,상장,20260206
코스닥,739,네이처셀,상장,20260206
코스닥,3364,네패스,상장,20260206
코스닥,39627,넥스트칩,상장,20260206
코스닥,34821,넥스틴,상장,20260206
코스닥,37693,노을,상장,20260206
코스닥,39389,더블유씨피,상장,20260206
코스닥,13197,두산테스나,상장,20260206
코스닥,5847,리노공업,상장,20260206
코스닥,21520,메가스터디교육,상장,20260206
코스닥,8690,메디톡스,상장,20260206
코스닥,41797,모델솔루션,상장,20260206
코스닥,32399,박셀바이오,상장,20260206
코스닥,673,서부T&D,상장,20260206
코스닥,1156,세보엠이씨,상장,20260206
코스닥,32838,솔트웨어,상장,20260206
코스닥,25772,실리콘투,상장,20260206
코스닥,3601,아비코전자,상장,20260206
코스닥,8485,아이티엠반도체,상장,20260206
코스닥,19617,알테오젠,상장,20260206
코스닥,5619,에스에프에이,상장,20260206
코스닥,23769,에스티팜,상장,20260206
코스닥,38331,에코프로에이치엔,상장,20260206
코스닥,25963,엠플러스,상장,20260206
코스닥,3920,오스코텍,상장,20260206
코스닥,13808,오이솔루션,상장,20260206
코스닥,44032,오픈놀,상장,20260206
코스닥,12287,와이지엔터테인먼트,상장,20260206
코스닥,24081,원익IPS,상장,20260206
코스닥,10173,위메이드맥스,상장,20260206
코스닥,24169,유니테크노,상장,20260206
코스닥,USA11,잉글우드랩,상장,20260206
코스닥,36139,제노코,상장,20260206
코스닥,8566,차바이오텍,상장,20260206
코스닥,7834,컴투스,상장,20260206
코스닥,18330,코미코,상장,20260206
코스닥,24171,코스메카코리아,상장,20260206
코스닥,20013,콜마비앤에이치,상장,20260206
코스닥,21415,클래시스,상장,20260206
코스닥,12456,태웅로직스,상장,20260206
코스닥,47596,토모큐브,상장,20260206
코스닥,6476,티씨케이,상장,20260206
코스닥,34057,티앤엘,상장,20260206
코스닥,15090,파수,상장,20260206
코스닥,14086,파크시스템스,상장,20260206
코스닥,9170,파트론,상장,20260206
코스닥,26375,펄어비스,상장,20260206
코스닥,952,포스코엠텍,상장,20260206
코스닥,3379,피노,상장,20260206
코스닥,16609,하나머티리얼즈,상장,20260206
코스닥,9085,현대이지웰,상장,20260206
코스닥,24307,휴온스,상장,20260206
코스닥,8411,휴온스글로벌,상장,20260206
코스닥,14502,휴젤,상장,20260206
