서식코드,서식명,대분류,구분,업데이트일
11212,자기 전환사채 매도 결정,수시공시,금감원,20250729
11214,자기 전환주식 매도 결정,수시공시,금감원,20250729
11301,부도발생,수시공시,금감원,20250729
11302,은행거래정지ㆍ금지,수시공시,금감원,20250729
11303,영업정지,수시공시,금감원,20250729
11304,회생절차개시신청,수시공시,금감원,20250729
11305,해산사유발생,수시공시,금감원,20250729
11306,유상증자결정,수시공시,금감원,20250729
11307,무상증자결정,수시공시,금감원,20250729
11308,유무상증자결정,수시공시,금감원,20250729
11309,감자결정,수시공시,금감원,20250729
11310,채권은행등의관리절차개시,수시공시,금감원,20250729
11312,소송등의제기,수시공시,금감원,20250729
11313,해외증권시장주권등상장결정,수시공시,금감원,20250729
11314,해외증권시장주권등상장폐지결정,수시공시,금감원,20250729
11315,해외증권시장주권등상장,수시공시,금감원,20250729
11316,해외증권시장주권등상장폐지,수시공시,금감원,20250729
11317,해외증권시장주권등매매거래정지등조치,수시공시,금감원,20250729
11318,외국법인등의외국법령등변경,수시공시,금감원,20250729
11319,외국법인등의주식등에대한외국에서의공개매수,수시공시,금감원,20250729
11320,외국법인등의주식등에대한외국에서의안정조작등,수시공시,금감원,20250729
11321,외국법인등의해외법규위반으로인한조치,수시공시,금감원,20250729
11322,외국법인등의외국거래소로부터매매거래정지ㆍ해제,수시공시,금감원,20250729
11323,외국법인등의외국거래소로부터상장폐지,수시공시,금감원,20250729
11324,전환사채권발행결정,수시공시,금감원,20250729
11325,신주인수권부사채권발행결정,수시공시,금감원,20250729
11326,교환사채권발행결정,수시공시,금감원,20250729
11327,채권은행등의관리절차중단,수시공시,금감원,20250729
11328,전환형 조건부자본증권 발행결정,수시공시,금감원,20250729
11329,상각형 조건부자본증권 발행결정,수시공시,금감원,20250729
11330,전환형 조건부자본증권의 주식전환 사유 발생,수시공시,금감원,20250729
11331,상각형 조건부자본증권의 채무재조정 사유 발생,수시공시,금감원,20250729
11332,자기주식 취득 결정,수시공시,금감원,20250729
11333,자기주식 처분 결정,수시공시,금감원,20250729
11334,자기주식취득 신탁계약 체결 결정,수시공시,금감원,20250729
11335,자기주식취득 신탁계약 해지 결정,수시공시,금감원,20250729
11336,영업양수 결정,수시공시,금감원,20250729
11337,영업양도 결정,수시공시,금감원,20250729
11338,유형자산 양수 결정,수시공시,금감원,20250729
11339,유형자산 양도 결정,수시공시,금감원,20250729
11340,타법인 주식 및 출자증권 양수결정,수시공시,금감원,20250729
11341,타법인 주식 및 출자증권 양도결정,수시공시,금감원,20250729
11342,주권 관련 사채권 양수 결정,수시공시,금감원,20250729
11343,주권 관련 사채권 양도 결정,수시공시,금감원,20250729
11344,회사합병 결정,수시공시,금감원,20250729
11345,회사분할 결정,수시공시,금감원,20250729
11346,회사분할합병 결정,수시공시,금감원,20250729
11347,주식교환ㆍ이전 결정,수시공시,금감원,20250729
11348,자본으로 인정되는 채무증권 발행결정,수시공시,금감원,20250729
11350,자기 신주인수권부사채 매도 결정,수시공시,금감원,20250729
11354,자기 전환사채 만기전 취득 결정,수시공시,금감원,20250729
11355,자기 신주인수권부사채 만기전 취득 결정,수시공시,금감원,20250729
11356,자기 전환주식 취득 결정,수시공시,금감원,20250729
70008,횡령ㆍ배임혐의발생,수시공시,거래소,20250729
70009,횡령ㆍ배임사실확인,수시공시,거래소,20250729
70010,소송등의제기ㆍ신청(자율공시:일정금액미만의청구),수시공시,거래소,20250729
70011,소송등의판결ㆍ결정(자율공시:일정금액미만의청구),수시공시,거래소,20250729
70012,단일판매ㆍ공급계약체결(자율공시),수시공시,거래소,20250729
70013,단일판매ㆍ공급계약해지(자율공시),수시공시,거래소,20250729
70014,유형자산취득결정(자율공시),수시공시,거래소,20250729
70015,유형자산처분결정(자율공시),수시공시,거래소,20250729
70016,매출액 또는 손익구조 30%(대규모법인은 15%)미만 변동(자율공시),수시공시,거래소,20250729
70017,파생상품 거래 손실발생(자율공시),수시공시,거래소,20250729
70018,거래처와의거래중단(자율공시),수시공시,거래소,20250729
70019,벌금등의부과(자율공시),수시공시,거래소,20250729
70020,횡령ㆍ배임 혐의발생(자율공시),수시공시,거래소,20250729
70021,횡령ㆍ배임 사실확인(자율공시),수시공시,거래소,20250729
70022,출자법인의부도등발생(자율공시),수시공시,거래소,20250729
70023,출자법인의해산사유발생(자율공시),수시공시,거래소,20250729
70024,출자법인의회생및파산절차관련사실등발생(자율공시),수시공시,거래소,20250729
70025,피보증(담보제공포함)법인의부도등발생(자율공시),수시공시,거래소,20250729
70026,피보증(담보제공포함)법인의해산사유발생(자율공시),수시공시,거래소,20250729
70027,피보증(담보제공포함)법인의회생및파산절차관련사실등발생(자율공시),수시공시,거래소,20250729
70028,금전가지급결정(자율공시),수시공시,거래소,20250729
70029,금전대여결정(자율공시),수시공시,거래소,20250729
70030,증권대여결정(자율공시),수시공시,거래소,20250729
70031,채무면제결정(자율공시),수시공시,거래소,20250729
70032,채무인수결정(자율공시),수시공시,거래소,20250729
70033,생산중단(자율공시),수시공시,거래소,20250729
70034,생산재개(자율공시),수시공시,거래소,20250729
70035,영업정지(자율공시),수시공시,거래소,20250729
70036,재해발생(자율공시),수시공시,거래소,20250729
70037,제품에대한수거ㆍ파기등결정(자율공시),수시공시,거래소,20250729
70038,타인에 대한 담보제공 결정(자율공시),수시공시,거래소,20250729
70039,타인에 대한 채무보증 결정(자율공시),수시공시,거래소,20250729
70040,신규시설투자등(자율공시),수시공시,거래소,20250729
70041,타법인주식및출자증권취득결정(자율공시),수시공시,거래소,20250729
70042,타법인주식및출자증권처분결정(자율공시),수시공시,거래소,20250729
70043,단기차입금증가결정(자율공시),수시공시,거래소,20250729
70050,기업설명회(IR) 개최,신고사항,거래소,20250729
70051,단기차입금감소결정(자율공시),수시공시,거래소,20250729
70054,소송등의제기ㆍ신청(자율공시:합병ㆍ분할 등 관련 무효ㆍ취소),수시공시,거래소,20250729
70055,소송등의판결ㆍ결정(자율공시:합병ㆍ분할 등 관련 무효ㆍ취소),수시공시,거래소,20250729
70056,중간(분기)배당을위한주주명부폐쇄(기준일)결정,수시공시,거래소,20250729
70057,횡령ㆍ배임 혐의 진행사항,수시공시,거래소,20250729
70058,횡령ㆍ배임 혐의 진행사항(자율공시),수시공시,거래소,20250729
70060,사채원리금미지급발생(자율공시),수시공시,거래소,20250729
70061,시설외 투자 등,수시공시,거래소,20250729
70062,시설외 투자 등(자율공시),수시공시,거래소,20250729
70065,증권 발행결과(자율공시),수시공시,거래소,20250729
70070,소송등의제기ㆍ신청(일정금액 이상의 청구),수시공시,거래소,20250729
70071,소송등의판결ㆍ결정(일정금액 이상의 청구),수시공시,거래소,20250729
70072,소송등의판결ㆍ결정,수시공시,거래소,20250729
70073,소송 등의 제기ㆍ신청(경영권 분쟁 소송),수시공시,거래소,20250729
70108,전환가액의조정,신고사항,거래소,20250729
70109,전환청구권행사,신고사항,거래소,20250729
70113,신주인수권행사가액의조정,신고사항,거래소,20250729
70114,신주인수권행사,신고사항,거래소,20250729
70118,교환가액의조정,신고사항,거래소,20250729
70119,교환청구권행사,신고사항,거래소,20250729
70123,증권예탁증권(DR) 원주청구권 행사,신고사항,거래소,20250729
70128,주식분할결정,수시공시,거래소,20250729
70129,주식병합결정,수시공시,거래소,20250729
70135,전환사채(해외전환사채포함)발행후만기전사채취득,신고사항,거래소,20250729
70136,신주인수권부사채(해외신주인수권부사채포함)발행후만기전사채취득,신고사항,거래소,20250729
70137,교환사채(해외교환사채포함)발행후만기전사채취득,신고사항,거래소,20250729
70180,채권은행 등의 관리절차 개시 신청,수시공시,거래소,20250729
70181,채권은행 등의 관리절차 개시 신청취하,수시공시,거래소,20250729
70182,채권은행등의관리절차해제,수시공시,거래소,20250729
70183,벌금등의부과,수시공시,거래소,20250729
70184,채권은행 등의 관리절차 개시(기업구조조정 촉진법에 해당하지 않는 경우),수시공시,거래소,20250729
70190,계열회사변경(자율공시),수시공시,거래소,20250729
70191,주요주주변경(자율공시),수시공시,거래소,20250729
70193,가족친화 인증ㆍ유효기간 연장ㆍ인증취소(자율공시),수시공시,거래소,20250729
70194,가족친화 경영정보 관련 과태료 부과 조치(자율공시),수시공시,거래소,20250729
70203,채권은행 등의 관리절차 중단(기업구조조정 촉진법에 해당하지 않는 경우),수시공시,거래소,20250729
70247,거래처와의거래중단,수시공시,거래소,20250729
70248,증여 결정(자율공시),수시공시,거래소,20250729
70249,수증(자율공시),수시공시,거래소,20250729
70282,피보증(담보제공포함)법인의부도등발생,수시공시,거래소,20250729
70294,피보증(담보제공포함)법인의해산사유발생,수시공시,거래소,20250729
70295,금전가지급결정,수시공시,거래소,20250729
70296,금전대여결정,수시공시,거래소,20250729
70297,증권대여결정,수시공시,거래소,20250729
70298,출자법인의부도등발생,수시공시,거래소,20250729
70299,선급금 지급 결정,수시공시,거래소,20250729
70300,매출채권 이외의 채권에서 발생한 손상차손,수시공시,거래소,20250729
70310,출자법인의해산사유발생,수시공시,거래소,20250729
70311,채무인수결정,수시공시,거래소,20250729
70312,채무면제결정,수시공시,거래소,20250729
70316,피보증(담보제공포함)법인의회생절차 및 파산절차 관련 사실 등 발생,수시공시,거래소,20250729
70321,출자법인의회생절차및파산절차관련사실등발생,수시공시,거래소,20250729
70325,채무면제이익발생(자율공시),수시공시,거래소,20250729
70330,회생절차 개시신청 기각,수시공시,거래소,20250729
70331,회생절차개시결정 취소,수시공시,거래소,20250729
70332,회생계획 인가,수시공시,거래소,20250729
70333,회생계획 불인가,수시공시,거래소,20250729
70340,파산신청,수시공시,거래소,20250729
70341,파산신청 기각,수시공시,거래소,20250729
70342,파산선고,수시공시,거래소,20250729
70343,어음 위ㆍ 변조 발생,수시공시,거래소,20250729
70344,사채원리금미지급발생,수시공시,거래소,20250729
70345,대출원리금 연체사실 발생,수시공시,거래소,20250729
70346,대출원리금 연체사실 발생(자율공시),수시공시,거래소,20250729
70361,자원개발 진행사항(자율공시),수시공시,거래소,20250729
